Workshop,Kategorie,Datum,Land,Location,Pole Studio,URL_E,Art,Level,Beschreibung,Trainer,Uhrzeit,Preis,Einheiten
Contemporary Pole,Fitness,"Sonntag, 26. Januar 2025",,Einzelticket,Pole and Move Ketsch,https://www.eversports.de/e/workshop/ExbS3tJ,Workshop,,"In diesem Workshop lernst du elegante und fließende Bewegungen an der Pole, die dich in einen Zustand der Grazie und Leichtigkeit versetzen. Wir konzentrieren uns auf langsame, bodennahe Bewegungen, die Kraft, Flexibilität und Anmut erfordern. Durch sanfte Übergänge und geschmeidige Bewegungen wirst du deine Körperbeherrschung verbessern und ein neues Gefühl der Verbundenheit mit deinem Körper entdecken.  In diesem Workshop wirst du verschiedene Kombinationen lernen und zum Schluss eine ganze Choreo tanzen können! Egal, ob du Anfänger bist oder bereits Erfahrung hast, dieser Workshop bietet dir die Möglichkeit, deine Poledance-Fähigkeiten auf eine neue Ebene zu bringen und dabei jede Menge Spaß zu haben. Bitte bringe zu diesem Workshop Knieschoner mit. Dieser Workshop kostet für Mitglieder einen Aufpreis von 6,00€.",,11:45 - 12:55,"ab 30,00 €",1 Einheit
Twerking,Poledance,"Freitag, 31. Januar 2025",,Einzelticket,Pole and Move Ketsch,https://www.eversports.de/e/workshop/phWl1gN,Workshop,,"Bist du bereit, deine Hüften zu bewegen und den Rhythmus zu spüren? 🤭 Willkommen zu unserem Twerking-Workshop! Twerking ist mehr als nur ein Tanzstil - es ist eine Ausdrucksform, die deine Kreativität und dein Selbstbewusstsein zum Ausdruck bringt.  In diesem Workshop lernst du: Welche Vorteile bieten die Twerking? Und das alles während du jede Menge Spaß hast!  Für unseren Twerking Workshop brauchst du keinerlei Vorkenntnisse, du musst einfach nur Lust haben etwas Neues zu lernen  Bitte bringe Knieschoner mit zum Workshop. Der Workshop kostet für Mitglieder einen Aufpreis von 6,00€.",,20:15 - 21:25,"ab 30,00 €",1 Einheit
Handstand,Fitness,"Samstag, 8. Februar 2025",,Einzelticket,Pole and Move Ketsch,https://www.eversports.de/e/workshop/Ns2rc-u,Workshop,,"Handstand meistern – Der Workshop für alle! Hast du dir schon immer gewünscht, den Handstand zu lernen, aber dir fehlt noch die nötige Kraft oder das richtige Gefühl? Kein Problem – in unserem Workshop bringen wir dich sicher zum Ziel! Lerne die Grundlagen des Handstands an der Pole – du musst noch kein Profi sein! Wir zeigen dir, wie du mit gezielten Techniken und Übungen Schritt für Schritt mehr Kontrolle und Stabilität gewinnst. Erhalte hilfreiche Tipps, um deinen Handstand zu verbessern, sowie spezielle Kraftübungen, die dir helfen, deine Ziele schneller zu erreichen. Außerdem übst du elegante Handstand-Shapes und die passenden Transitions, die deinem Handstand das gewisse Etwas verleihen! Melde dich jetzt an und starte noch heute deinen Weg zum Handstand! Der Workshop kostet für Mitglieder des Kurskontingents nur 6 Euro Aufpreis.",,12:45 - 13:55,"ab 30,00 €",1 Einheit
Chairdance,Fitness,"Donnerstag, 20. Februar 2025",,Einzelticket,Pole and Move Ketsch,https://www.eversports.de/e/workshop/X52GZ6L,Workshop,,"Möchtest du auch gerne mal deine tänzerische Seite rauslassen? Dann ist unser Chair Dance Workshop perfekt für dich. Denn viel aufregender als nur auf einem Stuhl herumzusitzen ist der ästhetische Tanz vor, neben und auf dem Stuhl. Es erwartet dich eine großartige Choreografie, die neben tänzerischen Elementen auch etwas Floorwork und akrobatische Elemente beinhaltet. Für diesen Workshop sind keinerlei Vorkenntnisse notwendig.  Bitte bringe eine Leggins, Knieschoner und ein T-Shirt mit zum Workshop. Der Workshop kostet für Mitglieder einen Aufpreis von 6,00€.",,19:00 - 20:10,"ab 30,00 €",1 Einheit
Lyrical Pole - mit Anne-Marie Kot,Poledance,"Freitag, 28. März 2025",,Gesamtticket,Pole and Move Ketsch,https://www.eversports.de/e/workshop/7Ycgz3p,Workshop,,"In diesem Workshop wirst du die sinnliche, ausdrucksvolle Form von Pole Dance und eine Mischung aus verschiedenen Tanzarten, wie Contemporary und Modern Dance kennenlernen. Annemarie gestaltet ihre Lyrical Pole Chores flüssig und konzentriert sich auf das schöne am Tanz und nicht auf die krassesten Pole-Tricks. Das heisst – dieser Workshop ist auch für Anfänger geeignet! Es wird mit Socken und Knieschonern getanzt, wenig Akrobatik an der Stange ausgeübt – dafür wird die Stange wirklich genutzt, um das schöne, spassvolle im Tanz zu zeigen. Die Akrobatik Tricks, die in der Choreo vorkommen, werden in verschiedenen Levels unterrichtet, sodass alle mitmachen können.",,17:00 - 18:30,"ab 60,00 €",1 Einheit
Exotik Old School - mit Anne-Marie Kot,Poledance,"Freitag, 28. März 2025",,Gesamtticket,Pole and Move Ketsch,https://www.eversports.de/e/workshop/wibDCs2,Workshop,,"Warum heißt es „Old School“? Weil es das „Pole Klischee“ ist… eine sehr erotische Form von Pole Dance. Das größte Ziel dieses Workshops ist es, deine Weiblichkeit, dein Feingefühl zu zeigen… und so sexy zu sein wie es nur geht  Es wird mit Schuhen und Knieschoner getanzt. In diesem Workshop können alle Levels teilnehmen. Die Transitions werden Wchritt für Schritt gezeigt und erklärt und auf die verschiedenen Levels angepasst.",,18:45 - 20:15,"ab 60,00 €",1 Einheit
Chairdance - Bad Romance,Chairdance,"Samstag, 8. Februar 2025",,Einzelticket,Pole and Move Ludwigshafen,https://www.eversports.de/e/workshop/zefw31D,Workshop,,"Bist du bereit, deine Tanzleidenschaft auf ein neues Level zu heben?Möchtest du lernen, wie du deinen Stuhl in eine verführerische Bühne verwandelst und mit jeder Bewegung alle in deinen Bann ziehst? Dann haben wir genau das Richtige für dich! Chairdance ist mehr als nur ein Tanz – es ist eine fesselnde Performance, bei der du deinen Körper elegant und sinnlich um den Stuhl bewegst. In diesem Workshop entfaltest du deine Kreativität und erschaffst eine beeindruckende Show, die sowohl verführerisch als auch selbstbewusst ist. Ganz gleich, ob du gerade erst anfängst oder schon Erfahrung hast – dieser Workshop ist für alle, die ihren Tanzstil verfeinern möchten! In diesem Workshop wirst du nicht nur deine Tanzfähigkeiten erweitern, sondern auch deinen Körper auf neue Weise entdecken. Stärkung der Fitness, Stressabbau und jede Menge Spaß – das alles wartet auf dich! Entdecke, wie du deine Sinnlichkeit und dein Selbstbewusstsein in einer einzigartigen Tanz-Performance ausdrückst. Wichtige Hinweise: Bitte bringe eine Leggins, Knieschoner und ein bequemes T-Shirt mit zum Workshop. Preis:Für Mitglieder gibt es einen Aufpreis von nur 6,00 €. Melde dich jetzt an und bringe deinen Tanz auf das nächste Level! Wir freuen uns darauf, gemeinsam mit dir zu tanzen. Durch die Betonung auf die Vorteile wie Selbstbewusstsein, Kreativität und Fitness wird der Workshop noch verlockender. Zudem sorgt die klare Struktur und die emotionale Ansprache dafür, dass der Text sowohl informativ als auch ansprechend wirkt.",,14:00 - 15:10,"ab 30,00 €",1 Einheit
Split-Workshop – Perfektioniere deinen Spagat für Pole!,Stärkung/Flexibilität,"Samstag, 22. Februar 2025",,Einzelticket,Pole and Move Ludwigshafen,https://www.eversports.de/e/workshop/N7wBBiP,Workshop,,"Träumst du von einem perfekten Spagat, der deine Pole-Tricks noch beeindruckender macht?In diesem Workshop liegt der Fokus ganz auf dem Frontsplit – der Schlüssel zu eleganten und kraftvollen Bewegungen an der Stange. Egal, ob du Anfänger bist oder bereits nah am Boden bist, dieser Workshop hilft dir, deine Spagatziele zu erreichen! Was erwartet dich? Bitte bringe eine Faszienrolle, Minibänder und ein langes Gummiband mit. Melde dich jetzt an und hol dir den perfekten Spagat, der deine Pole-Performance noch eindrucksvoller macht!Der Workshop hat für Mitglieder einen Aufpreis von 6 Euro.",,10:00 - 11:10,"ab 30,00 €",1 Einheit
"Flips, Drops and Dynamics",Poledance,"Samstag, 25. Januar 2025",,"Edisonstraße 20, 68309 Mannheim",Pole and Move Mannheim,https://www.eversports.de/e/workshop/exgSvSJ,Workshop,,"In diesem Workshops lernst du Dropvarianten, einfache Flips und dynamische Moves an der Static Pole. Du solltest um an diesem Workshop teilzunehmen, bereits im Intermediate Kurs sein und den Inseide und Outside Leghang, den Invert und den Butterfly sicher können. Dieser Workshop kostet für Mitglieder einen Aufpreis von 6,00€.",,18:15 - 19:25,"ab 30,00 €",1 Einheit
Pole Dynamics,Poledance,"Samstag, 15. Februar 2025",,"Edisonstraße 20, 68309 Mannheim",Pole and Move Mannheim,https://www.eversports.de/e/workshop/QpSRDO9,Workshop,,"Flips, dynamische Tricks und Static Spins - darum geht es in diesem Workshop! Ihr lernt einfache Spins und Jump-Outs, dynamische Tricks und Spins an der Static Pole. Um an diesem Workshop teilzunehmen, solltest du sicher im Inside und Outside Hang sein und den Invert und Butterfly beherschen. Der Workshop kostet für Mitglieder einen Aufpreis von 6€.",,11:15 - 12:25,"ab 30,00 €",1 Einheit
Pole Straps Workshop,Poledance,"Samstag, 15. Februar 2025",,"Edisonstraße 20, 68309 Mannheim",Pole and Move Mannheim,https://www.eversports.de/e/workshop/SQ5Rw6v,Workshop,,"Bist du bereit, deine Pole Dance Fähigkeiten auf ein neues Level zu heben?  Pole Straps sind Riemen, die an der Pole befestigt werden. In diese kannst du entweder einen Fuß oder eine Hand einhängen. Mit diesen Riemen kannst du atemberaubende Bewegungen und Drehungen an der Pole ausführen.  Was erwartet dich? Wieso solltest du teilnehmen? Der Pole Straps Workshop bietet dir die einzigartige Chance, deine Pole Dance Fähigkeiten zu erweitern und bekannte Figuren aus den “normalen” Kursen auf andere Weise kennenzulernen. Dabei wird die Schwierigkeit, aber auch das Spaß ein wenig erhöht, da man am Pole straps mitschwingt. Der Workshop kostet für Mitglieder einen Aufpreis von 6€.",,12:30 - 13:40,"ab 30,00 €",1 Einheit
Pole Flow Workshop – Tauche ein in die Kunst des fließenden Tanzes,Poledance,"Samstag, 22. Februar 2025",,"Edisonstraße 20, 68309 Mannheim",Pole and Move Mannheim,https://www.eversports.de/e/workshop/LzkarSL,Workshop,,"Entdecke die Magie des Pole Flow! In diesem Workshop lernst du, elegante Bewegungen, kreative Übergänge und ausdrucksstarke Elemente zu einer harmonischen Choreografie zu verbinden. ✨ Fließende Choreografie: Lerne, Spins, Transitions und Bodenelemente nahtlos zu kombinieren.✨ Technik und Ausdruck: Erwecke deinen Tanz zum Leben und entwickle deinen persönlichen Stil.✨ Kreative Inspiration: Entdecke neue Wege, um deiner tänzerischen Seite Ausdruck zu verleihen. Dieser Workshop ist perfekt für alle, die Poledance lieben und ihre tänzerische Seite weiterentwickeln möchten. Lass dich inspirieren und genieße das Gefühl, mit Eleganz und Leichtigkeit um die Pole zu tanzen. Bringe für den Workshop kurze Hosen,Leggins und Knieschoner und deine Begeisterung mit – wir freuen uns auf dich! 🌟 Dieser Workshop kostet für Mitglieder einen Aufpreis von 6,00€.",,12:00 - 13:10,"ab 30,00 €",1 Einheit
Yoga Candellight Workshop,Yoga,"Sonntag, 23. Februar 2025",,Einzelticket,Pole and Move Mannheim,https://www.eversports.de/e/workshop/p5r29UE,Workshop,,"Candlelight Yoga Workshop – Entspannt. Erdend. Magisch. Tauche ein in eine besondere Atmosphäre und gönn dir eine Auszeit vom hektischen Alltag. In unserem Candlelight Yoga Workshop kombinierst du sanfte Yogaflows mit der beruhigenden Energie von Kerzenlicht. Dieser Workshop ist die perfekte Gelegenheit, Körper und Geist in Einklang zu bringen und tief zu entspannen. Was dich erwartet: ✨ Fließende Yoga-Posen, die deine Flexibilität und Kraft fördern✨ Sanfte Dehnübungen zur Stressbewältigung und Entspannung✨ Eine meditative Atmosphäre, die dich zur inneren Ruhe führt✨ Unterstützung und Anleitung von erfahrenen Trainern Für wen?Alle, die in einer ruhigen und besinnlichen Umgebung entspannen möchten, unabhängig von ihrem Yoga-Level. Dauer:70 Minuten pure Entspannung. Kosten:+6 € für Mitglieder – Dein exklusiver Vorteil! Lass den Alltag hinter dir und finde deine Mitte im sanften Licht der Kerzen. Entdecke, wie wohltuend eine Auszeit für Körper und Seele sein kann. ✨🧘‍♀️",,18:00 - 19:10,"ab 30,00 €",1 Einheit
Static Pole Combos mit Natascha Mank,Poledance,"Freitag, 28. März 2025",,"Edisonstraße 20, 68309 Mannheim",Pole and Move Mannheim,https://www.eversports.de/e/workshop/ap-kAEF,Workshop,,"Ich bin ein Static Pole Freak. Du lernst mit mir Tricks an der Pole um dich zu drehen, ohne dass die Pole sich bewegt. Es gibt unzählige einfach Tricks und Moves an der Static Pole, die man von unten nach oben witer aufbauen kann. Mein Motto: Alles was man unten kann, kann man irgendwann weiter oben!"" Du lernst mit mir diese Tricks Step by Step. Lerne auch kleine Tricks bis hin zu coolen Combos und Static Rotations in Verbindung mit Kraftaufbau... natürlich auch coole Flips.",,17:00 - 18:30,"ab 60,00 €",1 Einheit
Schnupperstunde Aerial Yoga,Aerial Yoga,"Samstag, 15. Februar 2025",,"Sickingenstraße 10, 34117 Kassel",Pole for Soul GbR,https://www.eversports.de/e/workshop/kh-pap1,Workshop,,"Trau dich und beginne jetzt! Damit du uns und den außergewöhnlichen Sport kennen lernen kannst, bieten wir in regelmäßigen Abständen Schnupperstunden für Aerial Yoga an. Hierbei lernst du die ersten Schritte im Tuch und kannst dich langsam an diesen Sport rantasten. So trainierst du deinen Körper und kommst gleichzeitig in eine schöne Entspannung. Jeder kann an der Schnupperstunde teilnehmen. Du benötigst keine Vorkenntnisse oder irgendeine sportliche Grundlage. Hauptsache du möchtest etwas für dich tun und neue Dinge ausprobieren. Nach der Stunde haben wir genug Zeit, um über deine Wünsche und Fragen zu sprechen und den passenden Kurs für dich zu finden",,15:00 - 16:00,"ab 15,00 €",1 Einheit
Schnupperstunde Poledance,Poledance,"Samstag, 15. Februar 2025",,Gesamtticket,Pole for Soul GbR,https://www.eversports.de/e/workshop/CtIZBpe,Workshop,,"Trau dich und beginne jetzt! Damit du uns und den außergewöhnlichen Sport kennen lernen kannst, bieten wir in regelmäßigen Abständen Schnupperstunden für Poledance an. Hierbei lernst du die ersten Schritte an der Pole und kannst dich langsam an diesen Sport rantasten. Die Figuren verbinden wir dann in einer schönen Einstiegschoreo. Jeder kann an der Schnupperstunde teilnehmen. Du benötigst keine Vorkenntnisse oder irgendeine sportliche Grundlage. Hauptsache du möchtest etwas für dich tun und neue Dinge ausprobieren. Nach der Stunde haben wir genug Zeit, um über deine Wünsche und Fragen zu sprechen und den passenden Kurs für dich zu finden",,16:45 - 17:45,"ab 15,00 €",1 Einheit
Schnupperstunde Poledance,Poledance,"Sonntag, 23. Februar 2025",,"Sickingenstraße 10, 34117 Kassel",Pole for Soul GbR,https://www.eversports.de/e/workshop/qDUNI3I,Workshop,,"Trau dich und beginne jetzt! Damit du uns und den außergewöhnlichen Sport kennen lernen kannst, bieten wir in regelmäßigen Abständen Schnupperstunden für Poledance an. Hierbei lernst du die ersten Schritte an der Pole und kannst dich langsam an diesen Sport rantasten. Die Figuren verbinden wir dann in einer schönen Einstiegschoreo. Jeder kann an der Schnupperstunde teilnehmen. Du benötigst keine Vorkenntnisse oder irgendeine sportliche Grundlage. Hauptsache du möchtest etwas für dich tun und neue Dinge ausprobieren. Nach der Stunde haben wir genug Zeit, um über deine Wünsche und Fragen zu sprechen und den passenden Kurs für dich zu finden",,13:45 - 14:45,"ab 15,00 €",1 Einheit
Schnupperstunde Aerial Hoop,Aerial Hoop,"Sonntag, 23. Februar 2025",,Gesamtticket,Pole for Soul GbR,https://www.eversports.de/e/workshop/zkhsc_K,Workshop,,"Trau dich und beginne jetzt! Damit du uns und den außergewöhnlichen Sport kennen lernen kannst, bieten wir in regelmäßigen Abständen Schnupperstunden für Aerial Hoop an. Hierbei lernst du die ersten Schritte im Hoop und kannst dich langsam an diesen Sport rantasten. Die Figuren verbinden wir dann in einer kleinen Einstiegscombo. Jeder kann an der Schnupperstunde teilnehmen. Du benötigst keine Vorkenntnisse oder irgendeine sportliche Grundlage. Hauptsache du möchtest etwas für dich tun und neue Dinge ausprobieren. Nach der Stunde haben wir genug Zeit, um über deine Wünsche und Fragen zu sprechen und den passenden Kurs für dich zu finden",,15:45 - 16:45,"ab 15,00 €",1 Einheit
Burlesque meets Poldance,Poledance,"Sonntag, 23. März 2025",,Gesamtticket,Pole for Soul GbR,https://www.eversports.de/e/workshop/LyXhIEh,Workshop,,"Burlesque meets Poledance mit Luisa LohöferEntdecke die Kunst der Verführung und feiere deine Sinnlichkeit! Unter der Leitung von Luisa Lohöfer tauchen wir ein in die Welt des Burlesque. Mit ihrer charmanten Art und einem Hauch von Glamour zeigt sie dir, wie du Selbstbewusstsein und Eleganz auf die Bühne bringst. Lass dich von der Magie des Burlesque verzaubern und werde Teil eines unvergesslichen Abends voller Eleganz und Empowerment! #BurlesqueWorkshop #FeelTheMagic #PoleForSoulStyle",,13:30 - 15:00,"ab 35,00 €",1 Einheit
Burlesque Workshop,Burlesque,"Sonntag, 23. März 2025",,Gesamtticket,Pole for Soul GbR,https://www.eversports.de/e/workshop/YUC2Bra,Workshop,,"Burlesque-Workshop mit Luisa LohöferEntdecke die Kunst der Verführung und feiere deine Sinnlichkeit! Unter der Leitung von Luisa Lohöfer (aka @luisa_lucyfee auf Instagram) tauchen wir ein in die Welt des Burlesque. Mit ihrer charmanten Art und einem Hauch von Glamour zeigt sie dir, wie du Selbstbewusstsein und Eleganz auf die Bühne bringst. Für alle Levels geeignet – ob Anfänger:in oder mit Erfahrung, hier zählt nur deine Freude an der Bewegung und am Ausdruck!",,15:15 - 16:45,"ab 35,00 €",1 Einheit
Lapdance Valentines Special,Akrobatik,"Samstag, 8. Februar 2025",,Einzelticket,PoleCreation,https://www.eversports.de/e/workshop/pE8Ileg,Workshop,,"Lerne eine spicy Lapdance Choreo zu Valentinstag! Einfach nur für dich oder gerne dann für deine/n Partner/in Dieser Workshop ist für jeden geeignet! Du benötigst keinerlei Voraussetzung <3 Es wird... hot, hot hot! Choreo by Ines & Anja",,17:00 - 18:30,Ausgebucht,1 Einheit
